type,sub1,sub2,sub3,emission
에너지,A. 연료연소,1. 에너지산업,a. 공공전기 및 열 생산,"269,570.99"
에너지,A. 연료연소,1. 에너지산업,b. 석유정제,"15,858.29"
에너지,A. 연료연소,1. 에너지산업,c. 고체연료 제조 및 기타 에너지 산업,"2,184.82"
에너지,A. 연료연소,2. 제조업 및 건설업,a. 철강,"95,287.62"
에너지,A. 연료연소,2. 제조업 및 건설업,b. 비철금속,"2,979.01"
에너지,A. 연료연소,2. 제조업 및 건설업,c. 화학,"45,952.81"
에너지,A. 연료연소,2. 제조업 및 건설업,"d. 펄프, 제지 및 인쇄",662.19
에너지,A. 연료연소,2. 제조업 및 건설업,e. 식음료품 가공 및 담배 제조,"1,955.08"
에너지,A. 연료연소,2. 제조업 및 건설업,f. 기타,"39,759.39"
에너지,A. 연료연소,3. 수송,a. 민간항공,"1,606.10"
에너지,A. 연료연소,3. 수송,b. 도로수송,"94,711.41"
에너지,A. 연료연소,3. 수송,c. 철도,287.77
에너지,A. 연료연소,3. 수송,d. 해운,"1,018.93"
에너지,A. 연료연소,3. 수송,e. 기타수송,487.17
에너지,A. 연료연소,4. 기타,a. 상업/공공,"15,105.64"
에너지,A. 연료연소,4. 기타,b. 가정,"33,832.58"
에너지,A. 연료연소,4. 기타,c. 농업/임업/어업,"3,534.23"
에너지,A. 연료연소,5. 미분류,,"3,115.11"
에너지,B. 탈루,1. 고체연료,,336.84
에너지,B. 탈루,2.  석유 및 천연가스,a.  석유,215.87
에너지,B. 탈루,2.  석유 및 천연가스,b. 천연가스,"3,914.25"
산업공정,A. 광물산업,1. 시멘트생산,,"24,702.06"
산업공정,A. 광물산업,2. 석회생산,,"3,664.46"
산업공정,A. 광물산업,3. 석회석 및 백운석 소비,,"6,409.60"
산업공정,A. 광물산업,4. 소다회 생산 및 소비,,228.99
산업공정,A. 광물산업,5. 아스팔트 루핑,,0
산업공정,A. 광물산업,6. 아스팔트 도로포장,,0
산업공정,B. 화학산업,,,955.43
산업공정,C. 금속산업,1. 철강생산,,158.84
산업공정,C. 금속산업,2. 합금철 생산,,0
산업공정,C. 금속산업,3. 알루미늄 생산,,0
산업공정,C. 금속산업,4. 마그네슘 생산의 SF6 소비,,89.74
산업공정,D. 기타산업,,,0
산업공정,E. 할로카본 및 육불화황 생산,1. 부산물 배출,,0
산업공정,E. 할로카본 및 육불화황 생산,2. 탈루 배출,,0
산업공정,F. 할로카본 및 육불화황 소비,1.  냉장 및 냉방,,0
산업공정,F. 할로카본 및 육불화황 소비,2.  발포제,,0
산업공정,F. 할로카본 및 육불화황 소비,3.  소화기,,0
산업공정,F. 할로카본 및 육불화황 소비,4.  에어로졸,,0
산업공정,F. 할로카본 및 육불화황 소비,5.  용매,,0
산업공정,F. 할로카본 및 육불화황 소비,6.  기타 용도의 ODS 대체물질 사용,,0
산업공정,F. 할로카본 및 육불화황 소비,7.  반도체 제조,,"7,130.96"
산업공정,F. 할로카본 및 육불화황 소비,8.  중전기기,,"4,811.74"
산업공정,F. 할로카본 및 육불화황 소비,9.  기타(잠재배출량),,"8,822.45"
농업,A.  장내발효,1. 소,,"4,054.45"
농업,A.  장내발효,2. 물소,,0
농업,A.  장내발효,3. 양(면양),,0.24
농업,A.  장내발효,4. 양(산양),,44.97
농업,A.  장내발효,5. 낙타 및 라마,,0
농업,A.  장내발효,6. 말,,10.5
농업,A.  장내발효,7. 노새 및 당나귀,,0
농업,A.  장내발효,8. 돼지,,357.79
농업,A.  장내발효,9. 가금류,,0
농업,A.  장내발효,10. 기타 가축(사슴),,3.05
농업,B.  가축분뇨처리,1. 소,,"2,516.03"
농업,B.  가축분뇨처리,2. 물소,,0
농업,B.  가축분뇨처리,3. 양(면양),,0.27
농업,B.  가축분뇨처리,4. 양(산양),,167.9
농업,B.  가축분뇨처리,5. 낙타 및 라마,,0
농업,B.  가축분뇨처리,6. 말,,11.46
농업,B.  가축분뇨처리,7. 노새 및 당나귀,,0
농업,B.  가축분뇨처리,8. 돼지,,"1,399.78"
농업,B.  가축분뇨처리,9. 가금류,,829.3
농업,B.  가축분뇨처리,10. 기타 가축(사슴),,11.37
농업,C.  벼재배,1. 관개,,"6,266.88"
농업,C.  벼재배,2. 천수답,,29.94
농업,D. 농경지토양,1. 직접배출,,"3,017.92"
농업,D. 농경지토양,"2. 목장, 방목구역, 분료(거름)",,0
농업,D. 농경지토양,3. 간접배출,,"2,453.81"
농업,E. 사바나 소각,,,0
농업,F. 작물잔사소각,1. 곡류,,2.12
농업,F. 작물잔사소각,2. 두류(콩),,2.77
농업,F. 작물잔사소각,3. 근채류,,0
농업,F. 작물잔사소각,4. 사탕수수,,0
농업,F. 작물잔사소각,5. 기타,,9.96
LULUCF,A. 산림지,1. 산림지로 유지된 산림지,,"-45,595.65"
LULUCF,A. 산림지,2. 타토지에서 전용된 산림지,,0
LULUCF,A. 산림지,3. 산림지에서 질소 시비로 인한 N2O 배출,,0
LULUCF,A. 산림지,4. 산림지에서 배수로 인한 Non-CO2 배출,,0
LULUCF,A. 산림지,5. 산림지에서 바이오매스 연소에 의한 배출,,0
LULUCF,B. 농경지,1. 농경지로 유지된 농경지,,0
LULUCF,B. 농경지,2. 타토지에서 전용된 농경지,,"3,871.36"
LULUCF,B. 농경지,3. 농경지로의 전용에 따른 N2O 배출,,32.04
LULUCF,B. 농경지,4. 농경지에서 농업용 석회시용으로 인한 CO2 배출,,104.35
LULUCF,B. 농경지,5. 농경지에서 바이오매스 연소에 의한 배출,,0
LULUCF,C. 초지,1. 초지로 유지된 초지,,0
LULUCF,C. 초지,2. 타토지에서 전용된 초지,,-16.55
LULUCF,C. 초지,3. 초지에서 농업용 석회시용으로 인한 CO2 배출,,0
LULUCF,C. 초지,4. 초지에서 바이오매스 연소에 의한 배출,,0
LULUCF,D. 습지,1. 습지로 유지된 습지,,283.74
LULUCF,D. 습지,2. 타토지에서 전용된 습지,,35.6
LULUCF,D. 습지,3. 습지에서 배수로 인한 Non-CO2 배출,,0
LULUCF,D. 습지,4. 습지에서 바이오매스 연소에 의한 배출,,0
LULUCF,E. 정주지,,,0
LULUCF,F. 기타토지,,,0
폐기물,A. 폐기물매립,1. 관리형 매립,,"7,102.97"
폐기물,A. 폐기물매립,2. 비관리형 매립,,730.62
폐기물,B. 하폐수처리,1. 폐수처리,,417.15
폐기물,B. 하폐수처리,2. 하수처리,,"1,324.24"
폐기물,C. 폐기물소각,,,"7,098.30"
폐기물,D. 기타,,,419.12
