type,sub1,sub2,sub3,emission,percent
에너지,A. 연료연소,1. 에너지산업,a. 공공전기 및 열 생산,269570.99,37.0%
에너지,A. 연료연소,1. 에너지산업,b. 석유정제,15858.29,2.2%
에너지,A. 연료연소,1. 에너지산업,c. 고체연료 제조 및 기타 에너지 산업,2184.82,0.3%
에너지,A. 연료연소,2. 제조업 및 건설업,a. 철강,95287.62,13.1%
에너지,A. 연료연소,2. 제조업 및 건설업,b. 비철금속,2979.01,0.4%
에너지,A. 연료연소,2. 제조업 및 건설업,c. 화학,45952.81,6.3%
에너지,A. 연료연소,2. 제조업 및 건설업,"d. 펄프, 제지 및 인쇄",662.19,0.1%
에너지,A. 연료연소,2. 제조업 및 건설업,e. 식음료품 가공 및 담배 제조,1955.08,0.3%
에너지,A. 연료연소,2. 제조업 및 건설업,f. 기타,39759.39,5.5%
에너지,A. 연료연소,3. 수송,a. 민간항공,1606.1,0.2%
에너지,A. 연료연소,3. 수송,b. 도로수송,94711.41,13.0%
에너지,A. 연료연소,3. 수송,c. 철도,287.77,0.0%
에너지,A. 연료연소,3. 수송,d. 해운,1018.93,0.1%
에너지,A. 연료연소,3. 수송,e. 기타수송,487.17,0.1%
에너지,A. 연료연소,4. 기타,a. 상업/공공,15105.64,2.1%
에너지,A. 연료연소,4. 기타,b. 가정,33832.58,4.6%
에너지,A. 연료연소,4. 기타,c. 농업/임업/어업,3534.23,0.5%
에너지,A. 연료연소,5. 미분류,,3115.11,0.4%
에너지,B. 탈루,1. 고체연료,,336.84,0.0%
에너지,B. 탈루,2.  석유 및 천연가스,,4130.12,0.6%
산업공정,A. 광물산업,1. 시멘트생산,,24702.06,3.4%
산업공정,A. 광물산업,2. 석회생산,,3664.46,0.5%
산업공정,A. 광물산업,3. 석회석 및 백운석 소비,,6409.6,0.9%
산업공정,A. 광물산업,4. 소다회 생산 및 소비,,228.99,0.0%
산업공정,B. 화학산업,,,955.43,0.1%
산업공정,C. 금속산업,,,248.59,0.0%
산업공정,F. 할로카본 및 육불화황 소비,,,20765.15,2.9%
농업,A.  장내발효,,,4470.99,0.6%
농업,B.  가축분뇨처리,,,4936.12,0.7%
농업,C.  벼재배,,,6296.82,0.9%
농업,D. 농경지토양,,,5471.73,0.8%
농업,F. 작물잔사소각,,,14.85,0.0%
폐기물,A. 폐기물매립,,,7833.59,1.1%
폐기물,B. 하폐수처리,,,1741.39,0.2%
폐기물,C. 폐기물소각,,,7098.3,1.0%
폐기물,D. 기타,,,419.12,0.1%
,,,,,
